TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,Binary Tree,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Red Black Tree,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,BST,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,AVL - https://www.baeldung.com/java-avl-trees,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Tries @Week_1,4,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,[Explore - LeetCode](https://leetcode.com/explore/learn/card/trie/),4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Compare performance of tries and hashmap,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Space Complexity @Week_1,4,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Time Complexity @Week_1,4,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,OOP @Week_1,4,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Search @Week_2,4,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Interpolation Search,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Linear search,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Binary search,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Sorting @Week_2,4,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Radix sort,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Bucket sort,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Tree sort,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Quick sort,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Merge sort,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Shell sort,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Selection sort,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Insertion sort,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Bubble sort,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Graphs @Week_2,4,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,"Graph representation : There are 3 basic ways to represent a graph in memory (objects and pointers, matrix, and adjacency list); familiarize yourself with each representation and its pros & con.",4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Advantages and disadvantages : https://www.algolist.net/Data_structures/Graph/Internal_representation,4,3,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,[Graphs in Java: Representing Graphs in Code](https://stackabuse.com/graphs-in-java-representing-graphs-in-code/),4,3,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Minimal spanning tree,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,[Kruskal’s Algorithm for Spanning Trees with a Java Implementation | Baeldung](https://www.baeldung.com/java-spanning-trees-kruskal),4,3,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
